model,category,image,cer,wer,accuracy,time_sec,prediction,ground_truth
TrOCR (printed),printed,printed_004.png,0.7736,0.9778,22.64,2.927,"POSTS EXPLOREDERS APCES OR OPPOSRESSO
PROCES BUTEVERS:
INC4 MARIGNINGLINES MC45
INC.S. SERVICE:
WWWWWWWWWWW.
SALE AREAFULLOARDSIDE: RECEIPT OR REFIED
RECEIPT FOR FOLLOW/SEMMER REF OF REF #RED-0",B&W WCC 621800455 Reconstituted Tobacco Leaf Substitutions Export Formulas Revision Date: Allowable Grade Substitutions for Export CPCL Standard Grade Mark Allowable Substitutions PCFS Flue cured fine
TrOCR (printed),printed,printed_005.png,0.9646,0.9891,3.54,0.501,B&W COMPANY SOLD FOR ANSUMER DESFACTRATION,"DATE: DEPARTMENT: Type EQPR B&W QUALITY Implement: Date 632120763 QUALITY IMPROVEMENT SUGGESTION OUR MISSION IS SUPERIOR CONSUMER SATISFACTION Highest Quality. Teamwork, Do Right Things Right The Firs"
TrOCR (printed),handwritten,handwritten_000.png,0.3056,0.4286,69.44,0.518,PUR DOWN A VESOLUHOM ON THE AMOUNT,put down a resolution on the subject
TrOCR (printed),handwritten,handwritten_001.png,0.5152,0.8889,48.48,0.426,OUR NO NO OR BADLED BY MY. WWW,and he is to be backed by Mr. Will
TrOCR (printed),handwritten,handwritten_002.png,0.4054,0.8333,59.46,0.384,NOMLLANING ANY MAKE LABOR UP TODAY,nominating any more Labour life Peers
TrOCR (printed),handwritten,handwritten_003.png,0.303,0.8571,69.7,0.453,"MRS NOMORROW, MVP MICHAEL +004 KAS",M Ps tomorrow. Mr. Michael Foot has
TrOCR (printed),handwritten,handwritten_004.png,0.5676,0.8333,43.24,0.442,"GASHUS, HP FOR MANCARE RETUQUE","Griffiths, M P for Manchester Exchange ."
TrOCR (printed),handwritten,handwritten_005.png,0.3333,0.7778,66.67,0.467,NO NO RE MADE AND WELTHING OF LABORN,is to be made at a meeting of Labour
TrOCR (printed),receipts,receipt_000.png,0.817,0.9286,18.3,2.439,"NO9DULATE DRIVE AT 674 L113ACCHAN DOVE SUITE 885
DEBART NO.24372
TAX TAX: 971-9928
SANL 630400 P.S.3028/20573
:
SUMMARY :
1","Invoice no: 79587541 Date of issue: 08/02/2014 Seller: Client: Baker-Wagner Horton, Gillespie and Moore. 909 Duarte Drive Apt. 874 711 Richard Cove Suite 885. Joelfort, NH 24372 East Mindy, WY 58533 T"
TrOCR (printed),receipts,receipt_001.png,0.862,0.9474,13.8,3.067,"425 JANESA, NOS SUDCE 578B B63B 833 KOSTED FROM: SUITE 482
TAX TAX: 993-80-857 75757 TAX: 018 1/98-55-9-99-00010
BAN: SB300F2878,60606081
***
SUMMARY :
1","Invoice no: 27216737 Date of issue: 05/23/2018 Client: Seller: Nicholson, Hamilton and Holder Campbell and Sons 425 Alyssa Mills Suite 578 853 Kristen Light Suite 482 Tracyshire, WI 66027 Port Samanth"
TrOCR (printed),receipts,receipt_002.png,0.8921,0.9757,10.79,3.656,"8300B BEFARTS MADE NOT 2844 TSBJACKED CONSSTANDED SIDE T7
RODINGTONSATE V333555 WEST MARROUS WITHOUTS WITH
TAX: 1A1-90-928-4511 1 1
SANDWICH NO.00000035603514958
1
: 5
: ******
1.50
SUMMARY :
1","Invoice no: 58097062 Date of issue: 04/05/2013 Seller: Client: Wright-Alvarez Harper-Flynn 8309 Bernard Village Apt. 284 753 Acevedo Crossroad Suite 727 Robinsonshire, VT 35375 West Marcus, NY 87119 T"
TrOCR (printed),receipts,receipt_003.png,0.9527,0.9805,4.73,2.671,"TAX: 1A1-903-7-2646
BANGG8313-N-D-15008-0564-0568-0584-
:
:
: ****************** *** *** **** **** *** *** *** ***
1
SUMMARY :
1","Invoice no: 28590433 Date of issue: 09/27/2016 Client: Seller: White Group Hoffman Inc 14292 Leslie Ford 1478 Carr Lane Evansview, OK 43757 Port George, ND 31020 Tax Id: 903-72-1646 Tax Id: 946-97-036"
TrOCR (printed),receipts,receipt_004.png,0.9222,0.9834,7.78,3.055,"454 Watch receipts
PARTISLSPURMENT OR 4904445-SINAMAND, MA1633
BALANCE B&W002-P-0541-B-B-B-01-01-
:
: 35
: **** *** ***
1 **********
SUMMARY :
1","Invoice no: 45802970 Date of issue:. 03/30/2021 Seller: Client: Walter-Robbins Lopez, Pearson and Garcia 454 Ward Heights 4300 Vincent Fort Apt. 067 Port Joshuafort, OK 49084 Silvaland, MN 16233 Tax I"
TrOCR (printed),receipts,receipt_005.png,0.8728,0.9615,12.72,7.177,"GHAMBERHAM,DC4060515
SANL GOLDS-99A,903,6090949, JANNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN.N.N.N.N.N.N.N.N.N.N.N.N.N.N.N.N.N.N.N.","Invoice no: 54533510. Date of issue: 02/10/2021 Client: Seller: Tucker Inc Skinner Group 160 Kaitlin Flat 281 Cameron Alley Griffithhaven, DC 90675 East Marktown, CT 76958 Tax Id: 925-76-7636 Tax Id: "
TrOCR (printed),scene_text,scene_000.png,0.0,0.0,100.0,0.192,LAKES,LAKES
TrOCR (printed),scene_text,scene_001.png,0.0,0.0,100.0,0.181,SUNIL,SUNIL
TrOCR (printed),scene_text,scene_002.png,0.0,0.0,100.0,0.166,200,200
TrOCR (printed),scene_text,scene_003.png,0.2,1.0,80.0,0.207,EWJOY,ENJOY
TrOCR (printed),scene_text,scene_004.png,0.4,1.0,60.0,0.21,ROUS($,HOUSE
TrOCR (printed),scene_text,scene_005.png,0.0,0.0,100.0,0.162,NOW,NOW
TrOCR (printed),dense_text,dense_000.png,0.9992,1.0,0.08,0.17,0,TO: DATE: 3 Fax: NOTE: 82092117 614 -466 -5087 Dec 10 '98 17 :46 P. 01 ATT. GEN. ADMIN. OFFICE Attorney General Betty D. Montgomery CONFIDENTIAL FACSIMILE TRANSMISSION COVER SHEET (614) 466- 5087 FAX 
TrOCR (printed),dense_text,dense_001.png,1.0,1.0,0.0,0.176,***,TO: FROM: x SUBJECT: DIVISION: DIVISION: DIVISION: DIVISION: REGION: DIVISION: DIVISION: DIVISION: 225 27 15 31 18 19 20 82200067 09/ 17/ 97 10: 55 603 841 1898 LORILLARD PTLD ☑ 001 K. A. Sparrow T. D
TrOCR (printed),dense_text,dense_002.png,1.0,1.0,0.0,0.229,- **********,TO: FROM: DATE: MANUFACTURER: BRAND: Oct. Dec. Jan. Nov. X B&W 82250337 COMPETITIVE PRODUCT INTRODUCTION PROGRESS REPORT Sam Zolot Kool Waterfall All Packings TYPE OF PACKINGS: D. J. Landro 2- Dec- 97
TrOCR (printed),dense_text,dense_003.png,1.0,1.0,0.0,0.388,*********************************************************,17 cc: : From: Area: Region: 5 X Chains: Independents: 82251504 11/05/97 11: 03 813 384 0683 LORILLARD TAMPA GREENSBOR 0002/ 003 Retail Excel Progress Report Submission for: Distribution by/ to: DM to
TrOCR (printed),dense_text,dense_004.png,0.9058,0.9722,9.42,0.744,"CHANGE PROPORTED WITH AN OFFERS, NAME OF RECEIPT ON RECEIPT FOR AN",AUG 4 SEP 15 JUN 23 MAY 12 REGION: DIVISION: 7 7 TO: FROM: SUBJECT: OLOGOLD.XLS 82252956 GEOGRAPHY DISTRIBUTION 144/14 93 K. A. Sparrow SUBMISSION DATE D. J. Landro OLD GOLD MENTHOL LIGHTS & ULTRA LIG
TrOCR (printed),dense_text,dense_005.png,0.9921,1.0,0.79,0.235,SITATIONS:,82253058 LORILLARD TO: FROM: DATE: AUG SEPT OCT NOV MANUFACTURER BRAND: X 12/ 10/ 36 09: 51 317 8450977 001/ 002 COMPETITIVE PRODUCT INTRODUCTION PROGRESS REPORT MRS. K. A. SPARROW R. J. Reynolds Came
TrOCR (printed),degraded,degraded_000.png,0.9989,1.0,0.11,0.538,": 0
***
***","R&D : Suggestion: Date: Licensee Yes No 597005708 R&D QUALITY IMPROVEMENT SUGGESTION/ SOLUTION FORM Name / Phone Ext. : M. Hamann P. Harper, P. Martinez 9/ 3/ 92 R&D Group: J. S. Wigand Supervisor / M"
TrOCR (printed),degraded,degraded_001.png,0.9824,1.0,1.76,0.75,"EMPEST
***
PERFORM WITH
POST",Brand: Style: PHOENIX Company: Country: Macket: CYPRUS NICOSIA Weights Adhesive: Supplier(s) Color Porosity substance Ecusta E.30639 None (coresta) Type Overall skip Dimension Positioning Swift Other 
TrOCR (printed),degraded,degraded_002.png,1.0,1.0,0.0,0.188,:,"DATE: INITIATED BY: COMPLETION COUNTRY: PRODUCT: BELGIUM BY: DATE: NOTES: 620429480 RECEIVED SERVICE REQUEST FROM R & D BY INTERNATIONAL LICENSEE OPERATIONS REQUEST NO.: 25- 84 March 27, 1984 P. H. HA"
TrOCR (printed),degraded,degraded_003.png,1.0,1.0,0.0,0.169,***,SUBJECT: SAMPLE: CIGARETTES: TAR 9.1 NIC .88 MOIST 14.0 MENT .841 PREFERENCE: Bright 39 34 43 35 42 8 9 11 6 8 200 100 100 100 100 ATTRIBUTES: 53+++ 60+++ 46 56+++ 50 (n=) Total Male Female 35+ KL Bri
TrOCR (printed),degraded,degraded_004.png,0.8,0.9889,20.0,2.684,"POSTS FROMLINES ARE:S #PCS$0.80
PERS SUBWAYS: PPUSAS
THE REGISTERS INCLUS
***
INCL. MARMANS
FREE RECEIPT FOR AN RECEIPT FOR AN OFFER
DEEP FORBOARDSANDSAND REFUP A FREE-0",B&W WCC 621800455 Reconstituted Tobacco Leaf Substitutions Export Formulas Revision Date: Allowable Grade Substitutions for Export CPCL Standard Grade Mark Allowable Substitutions PCFS Flue cured fine
TrOCR (printed),degraded,degraded_005.png,0.9724,1.0,2.76,5.442,: 1MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM,"DATE: DEPARTMENT: Type EQPR B&W QUALITY Implement: Date 632120763 QUALITY IMPROVEMENT SUGGESTION OUR MISSION IS SUPERIOR CONSUMER SATISFACTION Highest Quality. Teamwork, Do Right Things Right The Firs"
TrOCR (handwritten),printed,printed_000.png,0.8746,1.0,12.54,5.699,100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 ,"R&D : Suggestion: Date: Licensee Yes No 597005708 R&D QUALITY IMPROVEMENT SUGGESTION/ SOLUTION FORM Name / Phone Ext. : M. Hamann P. Harper, P. Martinez 9/ 3/ 92 R&D Group: J. S. Wigand Supervisor / M"
TrOCR (handwritten),printed,printed_001.png,0.9934,1.0,0.66,0.197,After the,Brand: Style: PHOENIX Company: Country: Macket: CYPRUS NICOSIA Weights Adhesive: Supplier(s) Color Porosity substance Ecusta E.30639 None (coresta) Type Overall skip Dimension Positioning Swift Other 
TrOCR (handwritten),printed,printed_002.png,0.9829,0.9921,1.71,0.221,a few weeks,"DATE: INITIATED BY: COMPLETION COUNTRY: PRODUCT: BELGIUM BY: DATE: NOTES: 620429480 RECEIVED SERVICE REQUEST FROM R & D BY INTERNATIONAL LICENSEE OPERATIONS REQUEST NO.: 25- 84 March 27, 1984 P. H. HA"
TrOCR (handwritten),printed,printed_003.png,0.9923,0.9965,0.77,0.307,a b c d e f.,SUBJECT: SAMPLE: CIGARETTES: TAR 9.1 NIC .88 MOIST 14.0 MENT .841 PREFERENCE: Bright 39 34 43 35 42 8 9 11 6 8 200 100 100 100 100 ATTRIBUTES: 53+++ 60+++ 46 56+++ 50 (n=) Total Male Female 35+ KL Bri
TrOCR (handwritten),printed,printed_004.png,0.7868,1.0,21.32,6.842,"# papersorp-fo-T-
# PRESS OPPOSE
Mathematics Act
# 100
# 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0",B&W WCC 621800455 Reconstituted Tobacco Leaf Substitutions Export Formulas Revision Date: Allowable Grade Substitutions for Export CPCL Standard Grade Mark Allowable Substitutions PCFS Flue cured fine
TrOCR (handwritten),printed,printed_005.png,1.0,1.0,0.0,0.186,# #,"DATE: DEPARTMENT: Type EQPR B&W QUALITY Implement: Date 632120763 QUALITY IMPROVEMENT SUGGESTION OUR MISSION IS SUPERIOR CONSUMER SATISFACTION Highest Quality. Teamwork, Do Right Things Right The Firs"
TrOCR (handwritten),handwritten,handwritten_000.png,0.0278,0.1429,97.22,0.326,put down a resolution on the subjects,put down a resolution on the subject
TrOCR (handwritten),handwritten,handwritten_001.png,0.0,0.0,100.0,0.374,and he is to be backed by Mr. Will,and he is to be backed by Mr. Will
TrOCR (handwritten),handwritten,handwritten_002.png,0.6486,1.0,35.14,0.484,MONUMARING AND MODER LONDON METROVIDING,nominating any more Labour life Peers
TrOCR (handwritten),handwritten,handwritten_003.png,0.1212,0.5714,87.88,0.36,MPs tomorrow . Mr. Michael took his,M Ps tomorrow. Mr. Michael Foot has
TrOCR (handwritten),handwritten,handwritten_004.png,0.0,0.0,100.0,0.304,"Griffiths , M P for Manchester Exchange","Griffiths, M P for Manchester Exchange ."
TrOCR (handwritten),handwritten,handwritten_005.png,0.1389,0.2222,86.11,0.375,to to tell made at a meeting of Labour,is to be made at a meeting of Labour
TrOCR (handwritten),receipts,receipt_000.png,0.7443,0.9286,25.57,2.9,"1909 Duarte Drive . But # 11.1Richard Cove Suite88
loafert . NH2432 0 0 feetMinci ( ( 5833 )
Tard'""FIELD , a valid 95-32789 000 000
BALGEUKKURIPLE232222323
# # 099 00 999 999 109 10989
4 Summary 1 000","Invoice no: 79587541 Date of issue: 08/02/2014 Seller: Client: Baker-Wagner Horton, Gillespie and Moore. 909 Duarte Drive Apt. 874 711 Richard Cove Suite 885. Joelfort, NH 24372 East Mindy, WY 58533 T"
TrOCR (handwritten),receipts,receipt_001.png,0.796,0.9912,20.4,2.91,"425Avssa Mills-Bute58 000353Krissten Lichte482 000
TAId'D.D.303157 000 Tard. 98-9901 000 000
BAIGEEDZ-TER-WEICLEAL OF
# 100 000 000 rpm 104 8126
4 Summary 1 000 000 000
a few years of interest in 1837","Invoice no: 27216737 Date of issue: 05/23/2018 Client: Seller: Nicholson, Hamilton and Holder Campbell and Sons 425 Alyssa Mills Suite 578 853 Kristen Light Suite 482 Tracyshire, WI 66027 Port Samanth"
TrOCR (handwritten),receipts,receipt_002.png,0.8097,0.9515,19.03,4.32,"8309 Bernard Killane , 284 . .__ T533Acevebo0000000 Suite72
Robinsonshire VT333 . Wesmacks , NY19 00
TAXW.D2BA511 0 0 0 0 0 0- 789- 0 0
BALGEPODUC33626242593 000
# 100 feet 30003000 104 35000
3 000 fe","Invoice no: 58097062 Date of issue: 04/05/2013 Seller: Client: Wright-Alvarez Harper-Flynn 8309 Bernard Village Apt. 284 753 Acevedo Crossroad Suite 727 Robinsonshire, VT 35375 West Marcus, NY 87119 T"
TrOCR (handwritten),receipts,receipt_003.png,0.8406,0.9805,15.94,3.486,"Taxid : 937.7.645 0 0 0 0 0667-034 0
BANGERYNX227575333204 000 000 000
# 30 000 1976 128 108 321
# 100 cents sets 104 233
# 00 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 0","Invoice no: 28590433 Date of issue: 09/27/2016 Client: Seller: White Group Hoffman Inc 14292 Leslie Ford 1478 Carr Lane Evansview, OK 43757 Port George, ND 31020 Tax Id: 903-72-1646 Tax Id: 946-97-036"
TrOCR (handwritten),receipts,receipt_004.png,0.7922,0.9337,20.78,3.555,"454ward Heights 0 4300 Vincent Fort. 067 000
Portloshkafort ( (1984 ) Finland MN623 0
BALGEHAMPE-LE-REGAZ2LYGE OF
# 400 cm 000 sqgs 104 yards
3 # 500 each 1800 season 104 102,000,000
7 April 400 mph 5","Invoice no: 45802970 Date of issue:. 03/30/2021 Seller: Client: Walter-Robbins Lopez, Pearson and Garcia 454 Ward Heights 4300 Vincent Fort Apt. 067 Port Joshuafort, OK 49084 Silvaland, MN 16233 Tax I"
TrOCR (handwritten),receipts,receipt_005.png,0.7562,0.9038,24.38,2.828,"Griffithhaven , DC9675 . East Manitoba , CT7693
BANGERY-P-""92,"" 92-92222922 2 0 000 000 000 000 000
1 Jacksonville 500 each 317 2.85 104 244
3 MasterCard God , 100 each 700 700 100 000
4 Summary 1 000","Invoice no: 54533510. Date of issue: 02/10/2021 Client: Seller: Tucker Inc Skinner Group 160 Kaitlin Flat 281 Cameron Alley Griffithhaven, DC 90675 East Marktown, CT 76958 Tax Id: 925-76-7636 Tax Id: "
TrOCR (handwritten),scene_text,scene_000.png,0.0,0.0,100.0,0.165,lakes,LAKES
TrOCR (handwritten),scene_text,scene_001.png,1.0,1.0,0.0,0.191,sixsize,SUNIL
TrOCR (handwritten),scene_text,scene_002.png,0.3333,1.0,66.67,0.165,100,200
TrOCR (handwritten),scene_text,scene_003.png,1.0,1.0,0.0,0.174,semipay,ENJOY
TrOCR (handwritten),scene_text,scene_004.png,0.8,1.0,20.0,0.177,fog .,HOUSE
TrOCR (handwritten),scene_text,scene_005.png,1.0,1.0,0.0,0.17,resource,NOW
TrOCR (handwritten),dense_text,dense_000.png,1.0,1.0,0.0,0.181,# #,TO: DATE: 3 Fax: NOTE: 82092117 614 -466 -5087 Dec 10 '98 17 :46 P. 01 ATT. GEN. ADMIN. OFFICE Attorney General Betty D. Montgomery CONFIDENTIAL FACSIMILE TRANSMISSION COVER SHEET (614) 466- 5087 FAX 
TrOCR (handwritten),dense_text,dense_001.png,0.8305,1.0,16.95,5.391,2 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 00,TO: FROM: x SUBJECT: DIVISION: DIVISION: DIVISION: DIVISION: REGION: DIVISION: DIVISION: DIVISION: 225 27 15 31 18 19 20 82200067 09/ 17/ 97 10: 55 603 841 1898 LORILLARD PTLD ☑ 001 K. A. Sparrow T. D
TrOCR (handwritten),dense_text,dense_002.png,0.895,1.0,10.5,5.387,100 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 ,TO: FROM: DATE: MANUFACTURER: BRAND: Oct. Dec. Jan. Nov. X B&W 82250337 COMPETITIVE PRODUCT INTRODUCTION PROGRESS REPORT Sam Zolot Kool Waterfall All Packings TYPE OF PACKINGS: D. J. Landro 2- Dec- 97
TrOCR (handwritten),dense_text,dense_003.png,0.9897,0.9955,1.03,0.212,References of,17 cc: : From: Area: Region: 5 X Chains: Independents: 82251504 11/05/97 11: 03 813 384 0683 LORILLARD TAMPA GREENSBOR 0002/ 003 Retail Excel Progress Report Submission for: Distribution by/ to: DM to
TrOCR (handwritten),dense_text,dense_004.png,0.9265,1.0,7.35,0.365,Transportation ( Walter Styles management ( Robert Evans ),AUG 4 SEP 15 JUN 23 MAY 12 REGION: DIVISION: 7 7 TO: FROM: SUBJECT: OLOGOLD.XLS 82252956 GEOGRAPHY DISTRIBUTION 144/14 93 K. A. Sparrow SUBMISSION DATE D. J. Landro OLD GOLD MENTHOL LIGHTS & ULTRA LIG
TrOCR (handwritten),dense_text,dense_005.png,1.0,1.0,0.0,0.192,# #,82253058 LORILLARD TO: FROM: DATE: AUG SEPT OCT NOV MANUFACTURER BRAND: X 12/ 10/ 36 09: 51 317 8450977 001/ 002 COMPETITIVE PRODUCT INTRODUCTION PROGRESS REPORT MRS. K. A. SPARROW R. J. Reynolds Came
TrOCR (handwritten),degraded,degraded_000.png,0.9791,1.0,2.09,0.695,"a b c d e f
' '
a b c d","R&D : Suggestion: Date: Licensee Yes No 597005708 R&D QUALITY IMPROVEMENT SUGGESTION/ SOLUTION FORM Name / Phone Ext. : M. Hamann P. Harper, P. Martinez 9/ 3/ 92 R&D Group: J. S. Wigand Supervisor / M"
TrOCR (handwritten),degraded,degraded_001.png,0.9435,0.9956,5.65,1.242,"a small economy
a b c d e f g h i
displaystyle
a b c d e f g h. What you want to know",Brand: Style: PHOENIX Company: Country: Macket: CYPRUS NICOSIA Weights Adhesive: Supplier(s) Color Porosity substance Ecusta E.30639 None (coresta) Type Overall skip Dimension Positioning Swift Other 
TrOCR (handwritten),degraded,degraded_002.png,0.9829,0.9683,1.71,0.271,a b c d e f,"DATE: INITIATED BY: COMPLETION COUNTRY: PRODUCT: BELGIUM BY: DATE: NOTES: 620429480 RECEIVED SERVICE REQUEST FROM R & D BY INTERNATIONAL LICENSEE OPERATIONS REQUEST NO.: 25- 84 March 27, 1984 P. H. HA"
TrOCR (handwritten),degraded,degraded_003.png,0.9768,0.9894,2.32,0.376,is a small man and a man who is a,SUBJECT: SAMPLE: CIGARETTES: TAR 9.1 NIC .88 MOIST 14.0 MENT .841 PREFERENCE: Bright 39 34 43 35 42 8 9 11 6 8 200 100 100 100 100 ATTRIBUTES: 53+++ 60+++ 46 56+++ 50 (n=) Total Male Female 35+ KL Bri
TrOCR (handwritten),degraded,degraded_004.png,0.9385,1.0,6.15,1.361,"# Prospect
# races across a few
# #
# 00
# 00
# # 00
# #",B&W WCC 621800455 Reconstituted Tobacco Leaf Substitutions Export Formulas Revision Date: Allowable Grade Substitutions for Export CPCL Standard Grade Mark Allowable Substitutions PCFS Flue cured fine
TrOCR (handwritten),degraded,degraded_005.png,0.9974,1.0,0.26,0.207,0 0,"DATE: DEPARTMENT: Type EQPR B&W QUALITY Implement: Date 632120763 QUALITY IMPROVEMENT SUGGESTION OUR MISSION IS SUPERIOR CONSUMER SATISFACTION Highest Quality. Teamwork, Do Right Things Right The Firs"
DocTR,printed,printed_000.png,0.1243,0.1985,87.57,2.72,"R&D
R&D QUALITY IMPROVEHENT
SUIOGESTION/SOLUTION FORM
Name/Phone Ext.: M. Hamann. P. Harper, P. Martinez
Date: 9/3/92
Supervisor/Manager: J. S. Wigand
R&D Group: Licensee
Suggestion: Discontinue coal ","R&D : Suggestion: Date: Licensee Yes No 597005708 R&D QUALITY IMPROVEMENT SUGGESTION/ SOLUTION FORM Name / Phone Ext. : M. Hamann P. Harper, P. Martinez 9/ 3/ 92 R&D Group: J. S. Wigand Supervisor / M"
DocTR,printed,printed_001.png,0.6141,0.8018,38.59,3.954,"Page 1 of 10
RESTRICTED
BROWN & WILLIAMSON INTERNATIONAL TOBACCO
PRODUCT SPECIFICATION
Br and: PHOENIX
Company: B.A.T. CYPRUS
Style: HLB - KS
Country: CYPRUS
Licensee Ref. No.:
Market:
Place of Manufa",Brand: Style: PHOENIX Company: Country: Macket: CYPRUS NICOSIA Weights Adhesive: Supplier(s) Color Porosity substance Ecusta E.30639 None (coresta) Type Overall skip Dimension Positioning Swift Other 
DocTR,printed,printed_002.png,0.3225,0.4603,67.75,2.426,"PHMV
/L
SERVICE REQUEST FROM R&D BY
INTERNATIONAL LICENSEE OPERATIONS
RECEIVEN
REQUEST NO.:
25-84
APR 2 1984
DATE:
March 27, 1984
INITIATED BY:
P. H. HARPER fio
P.H.H.
COMPLETION
TARGET DATE: April 13","DATE: INITIATED BY: COMPLETION COUNTRY: PRODUCT: BELGIUM BY: DATE: NOTES: 620429480 RECEIVED SERVICE REQUEST FROM R & D BY INTERNATIONAL LICENSEE OPERATIONS REQUEST NO.: 25- 84 March 27, 1984 P. H. HA"
DocTR,printed,printed_003.png,0.7692,0.9716,23.08,4.496,"PDC # C273-82-7
TOP-LINES
PROJECT # 1982-102KL
MENTHOL PRODUCT TEST
PAGE # Lof 4
SUBJECT: :
KOOL Lights KS vs. Bright KS Product Monitor
SAMPLE:
408 (100 Menthol Lights/105 Menthol Ultra, 111 Non-Ment",SUBJECT: SAMPLE: CIGARETTES: TAR 9.1 NIC .88 MOIST 14.0 MENT .841 PREFERENCE: Bright 39 34 43 35 42 8 9 11 6 8 200 100 100 100 100 ATTRIBUTES: 53+++ 60+++ 46 56+++ 50 (n=) Total Male Female 35+ KL Bri
DocTR,printed,printed_004.png,0.4198,0.7,58.02,1.928,"Reconstituted Tobacco Leaf Substitutions
B&W
Export Formulas
Revision Date: 05/11/95
Allowable Grade Substitutions
for Export CPCL
Standard Grade Mark
Allowable Substitutions
PCFS Flue cured fines
RPC",B&W WCC 621800455 Reconstituted Tobacco Leaf Substitutions Export Formulas Revision Date: Allowable Grade Substitutions for Export CPCL Standard Grade Mark Allowable Substitutions PCFS Flue cured fine
DocTR,printed,printed_005.png,0.2174,0.3478,78.26,3.271,"QUALITY IMPROVEMENT SUGGESTION
B&W
OUR MISSION IS SUPERIOR CONSUMER SATISFACTION
Highest Quality, Teamwork, Do Right Things Right The First Time
RESEARCH & DEVELOPMENT
Quality Coord Only
DATEI June 21","DATE: DEPARTMENT: Type EQPR B&W QUALITY Implement: Date 632120763 QUALITY IMPROVEMENT SUGGESTION OUR MISSION IS SUPERIOR CONSUMER SATISFACTION Highest Quality. Teamwork, Do Right Things Right The Firs"
DocTR,handwritten,handwritten_000.png,0.6389,1.0,36.11,1.103,"pur
cowu
veso a uhon
CM",put down a resolution on the subject
DocTR,handwritten,handwritten_001.png,0.5152,0.8889,48.48,1.171,"-
AQ
K do &8
bachea
a A
Mr.
win",and he is to be backed by Mr. Will
DocTR,handwritten,handwritten_002.png,0.5135,1.0,48.65,1.042,"AOML S
au
Mow&
Labour
Poors",nominating any more Labour life Peers
DocTR,handwritten,handwritten_003.png,0.4848,0.8571,51.52,1.059,"-
crrow
M
Micha Q
has",M Ps tomorrow. Mr. Michael Foot has
DocTR,handwritten,handwritten_004.png,0.7568,1.0,24.32,1.18,"a - -
forr
Maucuodle
os - L 
(","Griffiths, M P for Manchester Exchange ."
DocTR,handwritten,handwritten_005.png,0.5556,0.7778,44.44,1.069,"C
to
lal
maa
ueohu a
Labous",is to be made at a meeting of Labour
DocTR,receipts,receipt_000.png,0.0353,0.0714,96.47,2.255,"Invoice no: 79587541
Date of issue:
08/02/2014
Seller:
Client:
Baker-Wagner
Horton, Gillespie and Moore
909 Duarte Drive Apt. 874
711 Richard Cove Suite 885
Joelfort, NH 24372
East Mindy, WY 58533
Tax","Invoice no: 79587541 Date of issue: 08/02/2014 Seller: Client: Baker-Wagner Horton, Gillespie and Moore. 909 Duarte Drive Apt. 874 711 Richard Cove Suite 885. Joelfort, NH 24372 East Mindy, WY 58533 T"
DocTR,receipts,receipt_001.png,0.0445,0.0877,95.55,2.657,"Invoice no: 27216737
Date of issue:
05/23/2018
Seller:
Client:
Nicholson, Hamilton and Holder
Campbell and Sons
425 Alyssa Mills Suite 578
853 Kristen Light Suite 482
Tracyshire, WI 66027
Port Samanth","Invoice no: 27216737 Date of issue: 05/23/2018 Client: Seller: Nicholson, Hamilton and Holder Campbell and Sons 425 Alyssa Mills Suite 578 853 Kristen Light Suite 482 Tracyshire, WI 66027 Port Samanth"
